dt,adms,dtas,rott,speciality
2022-05-20,2,4,0,Cardiology
2022-05-23,6,1,0,Cardiology
2022-05-24,6,1,0,Cardiology
2022-05-25,4,2,0,Cardiology
2022-05-26,8,1,0,Cardiology
2022-05-27,7,7,0,Cardiology
2022-05-30,3,9,0,Cardiology
2022-05-31,8,7,0,Cardiology
2022-06-01,4,3,0,Cardiology
2022-06-06,7,1,0,Cardiology
2022-06-07,2,19,0,Cardiology
2022-06-08,3,6,0,Cardiology
2022-06-09,9,4,0,Cardiology
2022-06-10,4,3,0,Cardiology
2022-06-11,1,10,0,Cardiology
2022-06-13,6,3,0,Cardiology
2022-06-14,8,2,0,Cardiology
2022-06-15,4,12,0,Cardiology
2022-06-16,8,3,0,Cardiology
2022-06-17,7,5,0,Cardiology
2022-06-20,5,4,0,Cardiology
2022-06-21,7,9,0,Cardiology
2022-06-22,4,6,0,Cardiology
2022-06-23,2,9,0,Cardiology
2022-06-24,8,9,0,Cardiology
2022-06-25,5,12,0,Cardiology
2022-06-27,5,7,0,Cardiology
2022-06-28,6,9,0,Cardiology
2022-06-29,2,11,0,Cardiology
2022-06-30,7,3,0,Cardiology
2022-07-01,7,15,0,Cardiology
2022-07-03,12,1,0,Cardiology
2022-07-04,7,2,0,Cardiology
2022-07-05,8,4,0,Cardiology
2022-07-06,5,6,0,Cardiology
2022-07-07,6,5,0,Cardiology
2022-07-08,2,6,0,Cardiology
2022-07-11,7,8,0,Cardiology
2022-07-12,9,14,0,Cardiology
2022-07-13,5,2,0,Cardiology
2022-07-14,6,5,0,Cardiology
2022-07-17,5,8,0,Cardiology
2022-07-18,1,1,0,Cardiology
2022-07-19,8,3,0,Cardiology
2022-07-20,3,13,0,Cardiology
2022-07-21,6,3,0,Cardiology
2022-07-22,4,9,0,Cardiology
2022-07-25,3,1,0,Cardiology
2022-07-26,7,13,0,Cardiology
2022-07-27,5,10,0,Cardiology
2022-07-28,7,4,0,Cardiology
2022-07-29,8,1,0,Cardiology
2022-07-31,6,2,0,Cardiology
2022-08-01,4,1,0,Cardiology
2022-08-02,4,4,0,Cardiology
2022-08-03,2,9,0,Cardiology
2022-08-04,5,22,0,Cardiology
2022-08-05,8,3,0,Cardiology
2022-08-06,1,9,0,Cardiology
2022-08-08,5,6,0,Cardiology
2022-08-09,2,1,0,Cardiology
2022-08-10,2,3,0,Cardiology
2022-08-11,3,13,0,Cardiology
2022-08-12,2,10,0,Cardiology
2022-08-15,3,4,0,Cardiology
2022-08-16,11,4,0,Cardiology
2022-08-17,1,9,0,Cardiology
2022-08-18,1,8,0,Cardiology
2022-08-19,4,7,0,Cardiology
2022-08-21,6,4,0,Cardiology
2022-08-22,3,9,0,Cardiology
2022-08-23,8,5,0,Cardiology
2022-08-24,2,6,0,Cardiology
2022-08-25,5,2,0,Cardiology
2022-08-30,7,5,0,Cardiology
2022-08-31,3,2,0,Cardiology
2022-09-01,3,1,0,Cardiology
2022-09-02,9,2,0,Cardiology
2022-09-05,4,4,0,Cardiology
2022-09-06,9,10,0,Cardiology
2022-09-07,6,5,0,Cardiology
2022-09-08,6,2,0,Cardiology
2022-09-09,6,4,0,Cardiology
2022-09-12,4,4,0,Cardiology
2022-09-13,6,1,0,Cardiology
2022-09-14,3,1,0,Cardiology
2022-09-15,11,17,0,Cardiology
2022-09-16,8,20,0,Cardiology
2022-09-20,8,2,0,Cardiology
2022-09-21,4,13,0,Cardiology
2022-09-22,4,4,0,Cardiology
2022-09-23,8,2,0,Cardiology
2022-09-26,7,1,0,Cardiology
2022-09-27,11,3,0,Cardiology
2022-09-28,6,3,0,Cardiology
2022-09-29,2,3,0,Cardiology
2022-09-30,7,1,0,Cardiology
2022-10-02,2,11,0,Cardiology
2022-10-03,5,4,0,Cardiology
2022-10-04,5,7,0,Cardiology
2022-10-05,2,5,0,Cardiology
2022-10-06,3,13,0,Cardiology
2022-10-07,11,1,0,Cardiology
2022-10-09,11,1,0,Cardiology
2022-10-10,5,1,0,Cardiology
2022-10-11,5,12,0,Cardiology
2022-10-12,2,7,0,Cardiology
2022-10-13,4,18,0,Cardiology
2022-10-14,3,7,0,Cardiology
2022-10-17,6,1,0,Cardiology
2022-10-18,6,1,0,Cardiology
2022-10-19,4,3,0,Cardiology
2022-10-20,5,4,0,Cardiology
2022-10-21,2,23,0,Cardiology
2022-10-24,3,3,0,Cardiology
2022-10-25,4,3,0,Cardiology
2022-10-26,5,1,0,Cardiology
2022-10-27,1,1,0,Cardiology
2022-10-28,4,4,0,Cardiology
2022-10-31,2,17,0,Cardiology
2022-11-01,8,8,0,Cardiology
2022-11-02,4,1,0,Cardiology
2022-11-03,8,3,0,Cardiology
2022-11-04,8,2,0,Cardiology
2022-11-07,5,16,0,Cardiology
2022-11-08,7,1,0,Cardiology
2022-11-09,4,5,0,Cardiology
2022-11-10,8,4,0,Cardiology
2022-11-14,8,1,0,Cardiology
2022-11-15,8,1,0,Cardiology
2022-11-16,5,7,0,Cardiology
2022-11-17,7,7,0,Cardiology
2022-11-18,6,2,0,Cardiology
2022-11-20,9,2,0,Cardiology
2022-11-21,8,1,0,Cardiology
2022-11-22,8,2,0,Cardiology
2022-11-23,4,4,0,Cardiology
2022-11-24,8,2,0,Cardiology
2022-11-25,7,18,0,Cardiology
2022-11-27,6,8,0,Cardiology
2022-11-28,3,6,0,Cardiology
2022-11-29,5,3,0,Cardiology
2022-11-30,3,1,0,Cardiology
2022-12-01,2,3,0,Cardiology
2022-12-02,4,5,0,Cardiology
2022-12-05,3,5,0,Cardiology
2022-12-06,5,2,0,Cardiology
2022-12-07,3,13,0,Cardiology
2022-12-08,4,3,0,Cardiology
2022-12-09,1,8,0,Cardiology
2022-12-11,8,3,0,Cardiology
2022-12-12,5,5,0,Cardiology
2022-12-13,5,10,0,Cardiology
2022-12-14,3,1,0,Cardiology
2022-12-15,3,1,0,Cardiology
2022-12-16,6,5,0,Cardiology
2021-12-18,0,10,0,Cardiology
2021-12-19,0,7,0,Cardiology
2021-12-25,0,3,0,Cardiology
2021-12-26,0,3,0,Cardiology
2021-12-27,0,10,0,Cardiology
2021-12-28,0,6,0,Cardiology
2021-12-29,0,5,0,Cardiology
2021-12-30,0,2,0,Cardiology
2022-01-01,0,5,0,Cardiology
2022-01-02,0,2,0,Cardiology
2022-01-03,0,2,0,Cardiology
2022-01-08,0,3,0,Cardiology
2022-01-09,0,3,0,Cardiology
2022-01-11,0,14,0,Cardiology
2022-01-14,0,1,0,Cardiology
2022-01-15,0,4,0,Cardiology
2022-01-16,0,16,0,Cardiology
2022-01-22,0,5,0,Cardiology
2022-01-23,0,3,0,Cardiology
2022-01-29,0,2,0,Cardiology
2022-01-30,0,4,0,Cardiology
2022-02-05,0,1,0,Cardiology
2022-02-06,0,1,0,Cardiology
2022-02-12,0,1,0,Cardiology
2022-02-13,0,3,0,Cardiology
2022-02-19,0,2,0,Cardiology
2022-02-20,0,8,0,Cardiology
2022-02-26,0,7,0,Cardiology
2022-02-27,0,2,0,Cardiology
2022-03-01,0,1,0,Cardiology
2022-03-05,0,6,0,Cardiology
2022-03-06,0,0,0,Cardiology
2022-03-12,0,0,0,Cardiology
2022-03-13,0,0,0,Cardiology
2022-03-19,0,0,0,Cardiology
2022-03-20,0,0,0,Cardiology
2022-03-26,0,0,0,Cardiology
2022-03-27,0,0,0,Cardiology
2022-04-02,0,0,0,Cardiology
2022-04-03,0,0,0,Cardiology
2022-04-09,0,0,0,Cardiology
2022-04-15,0,0,0,Cardiology
2022-04-16,0,0,0,Cardiology
2022-04-17,0,0,0,Cardiology
2022-04-18,0,0,0,Cardiology
2022-04-20,0,0,0,Cardiology
2022-04-23,0,0,0,Cardiology
2022-04-24,0,0,0,Cardiology
2022-04-30,0,0,0,Cardiology
2022-05-01,0,0,0,Cardiology
2022-05-02,0,0,0,Cardiology
2022-05-07,0,0,0,Cardiology
2022-05-08,0,0,0,Cardiology
2022-05-15,0,0,0,Cardiology
2022-05-21,0,0,0,Cardiology
2022-05-22,0,0,0,Cardiology
2022-05-28,0,0,0,Cardiology
2022-05-29,0,0,0,Cardiology
2022-06-02,0,0,0,Cardiology
2022-06-03,0,0,0,Cardiology
2022-06-04,0,0,0,Cardiology
2022-06-05,0,0,0,Cardiology
2022-06-12,0,0,0,Cardiology
2022-06-18,0,0,0,Cardiology
2022-06-19,0,0,0,Cardiology
2022-06-26,0,0,0,Cardiology
2022-07-02,0,0,0,Cardiology
2022-07-09,0,0,0,Cardiology
2022-07-10,0,0,0,Cardiology
2022-07-15,0,0,0,Cardiology
2022-07-16,0,0,0,Cardiology
2022-07-23,0,0,0,Cardiology
2022-07-24,0,0,0,Cardiology
2022-07-30,0,0,0,Cardiology
2022-08-07,0,0,0,Cardiology
2022-08-13,0,0,0,Cardiology
2022-08-14,0,0,0,Cardiology
2022-08-20,0,0,0,Cardiology
2022-08-26,0,0,0,Cardiology
2022-08-27,0,0,0,Cardiology
2022-08-28,0,0,0,Cardiology
2022-08-29,0,0,0,Cardiology
2022-09-03,0,0,0,Cardiology
2022-09-04,0,0,0,Cardiology
2022-09-10,0,0,0,Cardiology
2022-09-11,0,0,0,Cardiology
2022-09-17,0,0,0,Cardiology
2022-09-18,0,0,0,Cardiology
2022-09-19,0,0,0,Cardiology
2022-09-24,0,0,0,Cardiology
2022-09-25,0,0,0,Cardiology
2022-10-01,0,0,0,Cardiology
2022-10-08,0,0,0,Cardiology
2022-10-15,0,0,0,Cardiology
2022-10-16,0,0,0,Cardiology
2022-10-22,0,0,0,Cardiology
2022-10-23,0,0,0,Cardiology
2022-10-29,0,0,0,Cardiology
2022-10-30,0,0,0,Cardiology
2022-11-05,0,0,0,Cardiology
2022-11-06,0,0,0,Cardiology
2022-11-11,0,0,0,Cardiology
2022-11-12,0,0,0,Cardiology
2022-11-13,0,0,0,Cardiology
2022-11-19,0,0,0,Cardiology
2022-11-26,0,0,0,Cardiology
2022-12-03,0,0,0,Cardiology
2022-12-04,0,0,0,Cardiology
2022-12-10,0,0,0,Cardiology
